subject,relation,object
UAS operations,is in,open category
UAS operations,shall comply with,operational limitations
UAS operations,shall comply with,limitations
UAS operations,shall comply with,limitations
UAS operations,shall comply with,operational limitations
UAS operations,is in,specific category
UAS operations,shall,shall subject
UAS operations,shall,shall subject to operational requirements
UAS operations,shall,shall subject to requirements
UAS operations,shall,shall subject to applicable requirements
UAS operations,shall,shall subject to applicable operational requirements
UAS operations,is in,specific category
UAS operations,shall,shall subject
UAS operations,shall,shall subject to operational requirements
UAS operations,shall,shall subject to requirements
UAS operations,shall,shall subject to applicable requirements
UAS operations,shall,shall subject to applicable operational requirements
UAS operations,is in,certified category
